,0
625,NA1_4293116031
626,NA1_4293360880
627,NA1_4290885543
628,NA1_4288142940
629,NA1_4294530551
630,NA1_4292004829
631,NA1_4297282979
632,NA1_4296889194
633,NA1_4298002654
634,NA1_4290494124
635,NA1_4295870112
636,NA1_4291453881
637,NA1_4295237044
638,NA1_4289830350
639,NA1_4292720476
640,NA1_4285910035
641,NA1_4294098908
642,NA1_4290843269
643,NA1_4286660338
644,NA1_4298340851
645,NA1_4292295029
646,NA1_4298354707
647,NA1_4293806550
648,NA1_4297986091
649,NA1_4297920700
650,NA1_4297167491
651,NA1_4291943263
652,NA1_4288740277
653,NA1_4296898644
654,NA1_4298211221
655,NA1_4296452506
656,NA1_4298376030
657,NA1_4297019796
658,NA1_4297981065
659,NA1_4298242533
660,NA1_4295359309
661,NA1_4294595492
662,NA1_4298318531
663,NA1_4288105827
664,NA1_4298160107
665,NA1_4298372676
666,NA1_4298341419
667,NA1_4292084817
668,NA1_4291408043
669,NA1_4294442673
670,NA1_4298034146
671,NA1_4297900712
672,NA1_4298217302
673,NA1_4292800063
674,NA1_4295514783
675,NA1_4292298199
676,NA1_4287851605
677,NA1_4298162515
678,NA1_4294306368
679,NA1_4297986728
680,NA1_4295397045
681,NA1_4295697426
682,NA1_4295380110
683,NA1_4296104638
684,NA1_4291527996
685,NA1_4288233759
686,NA1_4294463903
687,NA1_4292381706
688,NA1_4288330627
689,NA1_4293123250
690,NA1_4294003181
691,NA1_4298363949
692,NA1_4294455543
693,NA1_4297459440
694,NA1_4294522076
695,NA1_4297649515
696,NA1_4298133472
697,NA1_4296667878
698,NA1_4297617125
699,NA1_4295701050
700,NA1_4294015536
701,NA1_4296804071
702,NA1_4295490007
703,NA1_4291221264
704,NA1_4294276190
705,NA1_4298393683
706,NA1_4295817012
707,NA1_4297114722
708,NA1_4296550371
709,NA1_4298164148
710,NA1_4296944909
711,NA1_4293152719
712,NA1_4295774409
713,NA1_4292134256
714,NA1_4294547421
715,NA1_4296794809
716,NA1_4289645264
717,NA1_4293656246
718,NA1_4291730430
719,NA1_4295475153
720,NA1_4286088602
721,NA1_4294254215
722,NA1_4296946893
723,NA1_4293935598
724,NA1_4296944844
725,NA1_4295331100
726,NA1_4298119965
727,NA1_4286727069
728,NA1_4297818477
729,NA1_4288288552
730,NA1_4296788042
731,NA1_4296514348
732,NA1_4296512284
733,NA1_4291612872
734,NA1_4296891001
735,NA1_4291105473
736,NA1_4298218839
737,NA1_4294205641
738,NA1_4294510412
739,NA1_4293292186
740,NA1_4296808740
741,NA1_4295396575
742,NA1_4295885762
743,NA1_4296980480
744,NA1_4296069609
745,NA1_4292823433
746,NA1_4298133299
747,NA1_4292649401
748,NA1_4295520955
749,NA1_4298132283
750,NA1_4297837354
751,NA1_4293591010
752,NA1_4295905028
753,NA1_4296911062
754,NA1_4297740317
755,NA1_4290995343
756,NA1_4295832525
757,NA1_4288044143
758,NA1_4293449719
759,NA1_4288497060
760,NA1_4297566747
761,NA1_4296017640
762,NA1_4296169468
763,NA1_4297668739
764,NA1_4297033253
765,NA1_4297685312
766,NA1_4292210047
767,NA1_4291757028
768,NA1_4296246819
769,NA1_4289268789
770,NA1_4298382026
771,NA1_4298222350
772,NA1_4290110936
773,NA1_4297188119
774,NA1_4295450117
775,NA1_4295597647
776,NA1_4288557147
777,NA1_4295483961
778,NA1_4291712049
779,NA1_4295056096
780,NA1_4295251608
781,NA1_4295878425
782,NA1_4298410371
783,NA1_4288813887
784,NA1_4295824379
785,NA1_4287192423
786,NA1_4295858276
787,NA1_4285986565
788,NA1_4292191001
789,NA1_4297062971
790,NA1_4295349442
791,NA1_4297128119
792,NA1_4297950889
793,NA1_4296847313
794,NA1_4285556416
795,NA1_4292822184
796,NA1_4295950319
797,NA1_4290570141
798,NA1_4296719496
799,NA1_4292893396
800,NA1_4286522526
801,NA1_4297822677
802,NA1_4289329564
803,NA1_4297972595
804,NA1_4296963876
805,NA1_4292977079
806,NA1_4292397316
807,NA1_4294188808
808,NA1_4287114193
809,NA1_4293287829
810,NA1_4297583079
811,NA1_4297034445
812,NA1_4296217119
813,NA1_4296117264
814,NA1_4295737323
815,NA1_4296783953
816,NA1_4295196326
817,NA1_4298153219
818,NA1_4286059248
819,NA1_4291663521
820,NA1_4293431651
821,NA1_4296788733
822,NA1_4295518668
823,NA1_4295427628
824,NA1_4292005035
825,NA1_4295218782
826,NA1_4290917849
827,NA1_4298370811
828,NA1_4292233537
829,NA1_4298188189
830,NA1_4296923248
831,NA1_4286847257
832,NA1_4298309062
833,NA1_4284183937
834,NA1_4291994724
835,NA1_4297567330
836,NA1_4292905353
837,NA1_4295126303
838,NA1_4295546847
839,NA1_4297806512
840,NA1_4287972533
841,NA1_4297656985
842,NA1_4286280037
843,NA1_4297540845
844,NA1_4298046687
845,NA1_4290480971
846,NA1_4295724964
